seconds,data
float,int
,
0.0,121
6.25e-05,122
0.000125,124
0.0001875,130
0.00025,125
0.0003125,123
0.000375,118
0.0004375,117
0.0005,117
0.0005625,114
0.000625,112
0.0006875,110
0.00075,112
0.0008125,115
0.000875,112
0.0009375,109
0.001,106
0.0010625,105
0.001125,105
0.0011875,103
0.00125,106
0.0013125,106
0.001375,104
0.0014375,104
0.0015,104
0.0015625,105
0.001625,106
0.0016875,108
0.00175,109
0.0018125,109
0.001875,107
0.0019375,105
0.002,104
0.0020625,105
0.002125,103
0.0021875,101
0.00225,100
0.0023125,99
0.002375,97
0.0024375,96
0.0025,97
0.0025625,98
0.002625,98
0.0026875,97
0.00275,96
0.0028125,97
0.002875,98
0.0029375,102
0.003,102
0.0030625,102
0.003125,99
0.0031875,98
0.00325,98
0.0033125,100
0.003375,101
0.0034375,101
0.0035,105
0.0035625,109
0.003625,109
0.0036875,106
0.00375,104
0.0038125,101
0.003875,100
0.0039375,99
0.004,99
0.0040625,99
0.004125,99
0.0041875,96
0.00425,94
0.0043125,96
0.004375,96
0.0044375,98
0.0045,96
0.0045625,97
0.004625,98
0.0046875,100
0.00475,102
0.0048125,101
0.004875,103
0.0049375,103
0.005,102
0.0050625,103
0.005125,103
0.0051875,104
0.00525,103
0.0053125,101
0.005375,101
0.0054375,101
0.0055,101
0.0055625,103
0.005625,103
0.0056875,102
0.00575,102
0.0058125,102
0.005875,101
0.0059375,101
0.006,101
0.0060625,102
0.006125,104
0.0061875,103
0.00625,106
0.0063125,107
0.006375,106
0.0064375,106
0.0065,109
0.0065625,109
0.006625,112
0.0066875,113
0.00675,113
0.0068125,111
0.006875,112
0.0069375,110
0.007,107
0.0070625,108
0.007125,109
0.0071875,111
0.00725,108
0.0073125,106
0.007375,103
0.0074375,104
0.0075,106
0.0075625,107
0.007625,112
0.0076875,112
0.00775,111
0.0078125,111
0.007875,112
0.0079375,110
0.008,108
0.0080625,108
0.008125,110
0.0081875,110
0.00825,114
0.0083125,117
0.008375,116
0.0084375,114
0.0085,112
0.0085625,117
0.008625,119
0.0086875,128
0.00875,132
0.0088125,132
0.008875,133
0.0089375,132
0.009,126
0.0090625,119
0.009125,118
0.0091875,116
0.00925,119
0.0093125,120
0.009375,127
0.0094375,127
0.0095,130
0.0095625,134
0.009625,133
0.0096875,136
0.00975,137
0.0098125,139
0.009875,140
0.0099375,139
0.01,138
0.0100625,138
0.010125,134
0.0101875,135
0.01025,133
0.0103125,134
0.010375,133
0.0104375,137
0.0105,137
0.0105625,136
0.010625,134
0.0106875,135
0.01075,136
0.0108125,136
0.010875,135
0.0109375,131
0.011,128
0.0110625,128
0.011125,130
0.0111875,128
0.01125,130
0.0113125,132
0.011375,134
0.0114375,138
0.0115,141
0.0115625,143
0.011625,140
0.0116875,135
0.01175,128
0.0118125,132
0.011875,130
0.0119375,134
0.012,135
0.0120625,137
0.012125,136
0.0121875,136
0.01225,137
0.0123125,137
0.012375,139
0.0124375,138
0.0125,135
0.0125625,134
0.012625,136
0.0126875,133
0.01275,137
0.0128125,136
0.012875,139
0.0129375,139
0.013,138
0.0130625,138
0.013125,139
0.0131875,139
0.01325,141
0.0133125,141
0.013375,138
0.0134375,141
0.0135,135
0.0135625,136
0.013625,134
0.0136875,132
0.01375,129
0.0138125,127
0.013875,127
0.0139375,124
0.014,128
0.0140625,127
0.014125,126
0.0141875,130
0.01425,132
0.0143125,132
0.014375,132
0.0144375,137
0.0145,138
0.0145625,143
0.014625,144
0.0146875,145
0.01475,142
0.0148125,138
0.014875,129
0.0149375,122
0.015,127
0.0150625,128
0.015125,133
0.0151875,137
0.01525,144
0.0153125,144
0.015375,143
0.0154375,144
0.0155,143
0.0155625,144
0.015625,146
0.0156875,145
0.01575,143
0.0158125,142
0.015875,141
0.0159375,138
0.016,140
0.0160625,138
0.016125,140
0.0161875,137
0.01625,135
0.0163125,129
0.016375,128
0.0164375,132
0.0165,135
0.0165625,138
0.016625,135
0.0166875,141
0.01675,137
0.0168125,139
0.016875,138
0.0169375,141
0.017,139
0.0170625,135
0.017125,136
0.0171875,138
0.01725,141
0.0173125,138
0.017375,143
0.0174375,142
0.0175,141
0.0175625,137
0.017625,130
0.0176875,124
0.01775,120
0.0178125,117
0.017875,117
0.0179375,115
0.018,115
0.0180625,119
0.018125,120
0.0181875,127
0.01825,133
0.0183125,135
0.018375,135
0.0184375,139
0.0185,140
0.0185625,142
0.018625,142
0.0186875,143
0.01875,144
0.0188125,144
0.018875,143
0.0189375,142
0.019,139
